n_id,nbName,nwName,nbyear,enter
193,회사는 이유 없이 망하지 않는다 :리더만 모르는 공공연한 비밀,호세 에르난데스 지음,2021,20221027
194,캡스톤디자인의 이해,김흥수 지음,2021,20221027
195,일본發 혐한 바이러스 :일본 지배계급의 비틀린 정치공학,이현주 지음,2021,20221027
196,일본의 우주개발 :평화에서 군사안보로,Satoru Ikeuchi 저,2021,20221027
197,이반 일리치 강의 :팬데믹 이후의 학교와 병원을 생각한다,이희경 지음,2021,20221027
198,일주일 법인세 신고 :궁금해? 일주일만 읽어봐 =Corporate tax return,윤상철,2021,20221027
199,입법을 알아야 기업이 산다 :성공적인 비즈니스를 위한 국회 사용 설명서,서인석 지음,2021,20221027
200,자존감을 찾는 21일 습관의 법칙 :한 번뿐인 인생 이렇게 살다가 끝낼 것인가?,임용근 지음,2021,20221027
201,홍보의 마법 스타트업 전쟁에서 살아남기,태윤정 지음,2021,20221027
202,행정심판 :나 홀로 슬기롭게,박노철,2021,20221027
203,(신판) 한국전쟁사 부도,온창일,2021,20221027
204,한국의 젊은 임원들 :오너 펠로우가 아닌 진짜 리더를 말하다,이종현,2021,20221027
205,학교폭력 그 새로운 이야기 :학교폭력예방과 학생의 이해 =A new story for the prevention of school bullying,김천기 저,2021,20221027
206,전략가의 마인드 :천재들의 전략지능,노명화 지음,2021,20221027
207,이기는 판을 위한 36계 병법 :생각을 꿰뚫어 승자가 되는 방법 : 이 시대 필요한 최고의 처세술,임유진 편저,2021,20221027
208,이공계의 눈으로 보다 :남북관계와 국제개발협력,김영지,2021,20221027
209,지구의 짧은 역사 :한 권으로 읽는 하버드 자연사 강의,앤드루 H. 놀 지음,2021,20221027
210,과학기술학 편람 .5,에드워드 J. 해킷,2021,20221027
211,후보단일화 게임 :대통령이 되기 위한 절체절명의 협상 테이블,황두영 지음,2021,20221027
212,한비자 :선택과 결단의 경영자 : 위기에 맞서는 경영자가 배워야 할 쾌도난마의 지혜,한비자 지음,2021,20221027
213,주식 사자처럼 투자하고 거북이처럼 간다 :이것만 미리 알았어도 좋았을 것들,이헌상 지음,2021,20221027
214,우리는 더 잘할 수 있다 :어떻게 환경파괴가 코로나 팬데믹을 불러왔으며 왜 생태적 삶만이 세계인의 건강을 지킬 수 있는가,클레멘스 아르바이 지음,2021,20221027
215,살아 있는 동안 꼭 봐야 할 우리 꽃 100 :권혁재의 핸드폰 카메라가 담은 사계절 들꽃 이야기,권혁재,2021,20221027
216,사람의 자리 :삶을 지켜내는 과학을 위하여,전치형 지음,2021,20221027
217,차터 리퍼블릭 :메타버스로 구현하는 신생 문명국가 =Charter republic,박창기 지음,2021,20221027
218,과학기술학 편람 .3,에드워드 J. 해킷,2021,20221027
219,집에 갇힌 나라 동아시아와 중국,김수현,2021,20221027
220,카지노,정인준 지음,2021,20221027
221,진짜 초등국어 공부법 :상위 1% 국어 실력의 비결 7대 3 황금 균형의 법칙,배혜림 지음,2021,20221027
222,진보 재집권 플랜 :보수와의 말싸움에서 한방에 이길 수 있는 명쾌한 논리가 가득한 책!,조나라 지음,2021,20221027
223,한국통화금융사 .2 광복 이후 =History of money and financial systems in Korea,배영목 지음,2021,20221027
224,탈북여성 30인 특별대담 :안보강사부터 미스트롯 가수까지,림일 지음,2021,20221027
225,퓨처 모빌리티 =Future mobility,과학동아,2021,20221027
